product_id:ID(Product),product_name,brand,category
a3cfe85b-7c7a-5fe8-83b5-b38c30c2995a,유리아쥬 오떼르말,유리아쥬,미스트
d2084a81-5d1e-5b91-9c6b-27772718af13,아벤느 오떼르말 미스트,아벤느,미스트
81db6ba2-a486-5c67-abd4-6fc6009f55f1,라로슈포제 오떼르말 온천수 미스트,라로슈포제,미스트
2af5a3c1-e5af-5f53-82f2-86a31d50c880,에비앙 브뤼미자뙤르 페이셜 스프레이,에비앙,미스트
e1a99529-d6fd-5383-8697-d75caba9a5df,에비앙 브뤼미자뙤르 페이셜미스트,에비앙,미스트
0164fb51-9a5b-5157-8c0c-57408eb61f93,유리아쥬 리페어링 떼르말 워터,유리아쥬,미스트
f0bcf4ac-1f11-5a00-a89a-8616f4ce6f12,프라나롬 캐모마일 하이드롤라,프라나롬,미스트
0c430006-49cf-5907-bbcd-5d2e898282f1,아벤느 오떼르말,아벤느,미스트
c4fb9ca2-39f7-54b6-a586-2dbd7b6fc301,라로슈포제 세로징크 세범 컨트롤 토닝 미스트,라로슈포제,미스트
aeb35cdb-d5e1-5222-b97c-5f1eff1dd415,아누아 피디알엔 히알루론산 수분 캡슐 미스트,아누아,미스트
6d79a0d1-7f07-517e-a347-dac0f9132df3,오브제 맥스 스킨 미스트,오브제,미스트
9ae42700-87d5-5267-8919-4000c8b81ce6,더말로지카 울트라카밍 미스트,더말로지카,미스트
39a7115d-a9c5-5548-9d3c-a544bd2a0ac0,에스테덤 셀룰러 워터 미스트,에스테덤,미스트
fb37bcf1-a23b-5689-86f0-d70b49f39533,크리니크 모이스춰 써지 페이스 스프레이,크리니크,미스트
8a0bdae9-5e85-5861-95ea-eeede8931916,헤라 컴피 리바이탈라이징 세럼 미스트,헤라,미스트
10a0958f-0960-598e-9559-f3c2627bac6e,그라운드플랜 미스트,그라운드플랜,미스트
99c64e65-bc01-5aff-8b18-94fc999d69d3,차앤박 더마앤서 스킨 부스팅 PDRN 세럼 미스트,차앤박,미스트
793c45cd-dcdf-5b9b-b955-120cba809106,차앤박 더마앤서 스킨 부스팅 피디알엔 세럼 미스트,차앤박,미스트
