ingredient_id:ID(Ingredient),inci_name,kor_name,cosing_functions:string[]
CANNABIS SATIVA SEED OIL,CANNABIS SATIVA SEED OIL,삼씨오일,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
BRASSICA NAPUS SPROUT EXTRACT,BRASSICA NAPUS SPROUT EXTRACT,서양유채싹추출물,HUMECTANT;SKIN CONDITIONING
PRUNUS DOMESTICA WOOD ASH,PRUNUS DOMESTICA WOOD ASH,서양자두추출물,ORAL CARE
CETETH-15,CETETH-15,세테스-18,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
CETYL-PG HYDROXYETHYL PALMITAMIDE,CETYL-PG HYDROXYETHYL PALMITAMIDE,하이드록시에틸팔미틸옥시하이드록시프로필팔미타마이드,SKIN CONDITIONING
CETYLPYRIDINIUM CHLORIDE,CETYLPYRIDINIUM CHLORIDE,세틸피리디늄클로라이드,ANTIMICROBIAL;ANTISTATIC;DEODORANT;ORAL CARE
CENTAURIUM ERYTHRAEA FLOWER EXTRACT,CENTAURIUM ERYTHRAEA FLOWER EXTRACT,센타우리꽃추출물,SKIN CONDITIONING
ELETTARIA CARDAMOMUM SEED EXTRACT,ELETTARIA CARDAMOMUM SEED EXTRACT,소두구씨추출물,TONIC;PERFUMING
SODIUM GLYCEROPHOSPHATE,SODIUM GLYCEROPHOSPHATE,소듐글리세로포스페이트,ANTIPLAQUE;ORAL CARE
SODIUM LAURYL GLUCOSE CARBOXYLATE,SODIUM LAURYL GLUCOSE CARBOXYLATE,소듐라우릴글루코오스카복실레이트,CLEANSING;SURFACTANT - CLEANSING
SODIUM LAURYL PHOSPHATE,SODIUM LAURYL PHOSPHATE,소듐라우릴포스페이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
SODIUM METHYLTAURATE,SODIUM METHYLTAURATE,소듐메틸타우레이트,SKIN CONDITIONING
SODIUM MYRISTATE,SODIUM MYRISTATE,소듐미리스테이트,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
SODIUM SWEETALMONDAMPHOACETATE,SODIUM SWEETALMONDAMPHOACETATE,소듐스위트아몬드암포아세테이트,CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING
SODIUM STEAROYL LACTYLATE,SODIUM STEAROYL LACTYLATE,소듐스테아로일락틸레이트,SURFACTANT - EMULSIFYING
SODIUM ANISATE,SODIUM ANISATE,소듐아니세이트,ANTIMICROBIAL;FRAGRANCE;FLAVOURING;pH ADJUSTERS
SODIUM OLEATE,SODIUM OLEATE,소듐올리에이트,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
SODIUM CARRAGEENAN,SODIUM CARRAGEENAN,소듐카라기난,ANTISTATIC;BINDING;EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
SODIUM CARBOXYMETHYL STARCH,SODIUM CARBOXYMETHYL STARCH,소듐카복시메틸스타치,BINDING;EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
SODIUM COCO PG-DIMONIUM CHLORIDE PHOSPHATE,SODIUM COCO PG-DIMONIUM CHLORIDE PHOSPHATE,소듐코코피지-다이모늄클로라이드포스페이트,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING
CUPRESSUS SEMPERVIRENS BRANCH/LEAF OIL,CUPRESSUS SEMPERVIRENS BRANCH/LEAF OIL,솔잣나무가지/잎오일,FRAGRANCE;SKIN CONDITIONING
NYMPHAEA TETRAGONA EXTRACT,NYMPHAEA TETRAGONA EXTRACT,수련추출물,SKIN CONDITIONING
SUCROSE TRISTEARATE,SUCROSE TRISTEARATE,수크로오스트라이스테아레이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING
PRUNUS AMYGDALUS DULCIS PROTEIN,PRUNUS AMYGDALUS DULCIS PROTEIN,스위트아몬드단백질,HAIR CONDITIONING;SKIN CONDITIONING
STEARYL HEPTANOATE,STEARYL HEPTANOATE,스테아릴헵타노에이트,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
SPIRULINA MAXIMA EXTRACT,SPIRULINA MAXIMA EXTRACT,스피룰리나 막시마추출물,SMOOTHING
CHRYSANTHEMUM SINENSE FLOWER EXTRACT,CHRYSANTHEMUM SINENSE FLOWER EXTRACT,시넨스국화꽃추출물,CLEANSING;SURFACTANT - CLEANSING
BOMBYX MORI EXTRACT,BOMBYX MORI EXTRACT,세리카,SKIN CONDITIONING
ADENOSINE PHOSPHATE,ADENOSINE PHOSPHATE,아데노신포스페이트,SKIN CONDITIONING
ADIPIC ACID,ADIPIC ACID,아디픽애씨드,BUFFERING;FRAGRANCE
ARISTOTELIA CHILENSIS FRUIT EXTRACT,ARISTOTELIA CHILENSIS FRUIT EXTRACT,아리스토텔리아 킬렌시스열매추출물,SKIN CONDITIONING
AMYLOPECTIN,AMYLOPECTIN,아밀로펙틴,BINDING;VISCOSITY CONTROLLING
AMYL CINNAMAL,AMYL CINNAMAL,아밀신남알,PERFUMING
ASPARAGOPSIS ARMATA EXTRACT,ASPARAGOPSIS ARMATA EXTRACT,아스파라곱시스 아르마타추출물,SKIN PROTECTING
ASPERGILLUS/RICE FERMENT FILTRATE,ASPERGILLUS/RICE FERMENT FILTRATE,아스퍼질러스/쌀발효여과물,SKIN CONDITIONING
ISOMERIZED LINOLEIC ACID,ISOMERIZED LINOLEIC ACID,아이소머라이즈드리놀레익애씨드,FILM FORMING;SKIN CONDITIONING
ISOBUTANE,ISOBUTANE,아이소부탄,PROPELLANT
ISOPROPYL LAUROYL SARCOSINATE,ISOPROPYL LAUROYL SARCOSINATE,아이소프로필라우로일사코시네이트,SKIN CONDITIONING
AZULENE,AZULENE,아줄렌,SKIN CONDITIONING;SOOTHING
R-BOVINE POLYPEPTIDE-1,R-BOVINE POLYPEPTIDE-1,알-소폴리펩타이드-1,SKIN CONDITIONING
S-CLOSTRIDIUM BOTULINUM OLIGOPEPTIDE-1,S-CLOSTRIDIUM BOTULINUM OLIGOPEPTIDE-1,에스-클로스트리듐 보툴리눔올리고펩타이드-1,SKIN CONDITIONING - MISCELLANEOUS
SH-POLYPEPTIDE-10,SH-POLYPEPTIDE-10,에스에이치-폴리펩타이드-10,SKIN CONDITIONING
SH-POLYPEPTIDE-14,SH-POLYPEPTIDE-14,에스에이치-폴리펩타이드-14,HAIR CONDITIONING;SKIN PROTECTING
SH-POLYPEPTIDE-4,SH-POLYPEPTIDE-4,에스에이치-폴리펩타이드-4,ANTIOXIDANT;HAIR CONDITIONING;SKIN CONDITIONING
ETHYLENE BRASSYLATE,ETHYLENE BRASSYLATE,에틸렌브라실레이트,FRAGRANCE;TONIC
ETHYL LINOLEATE,ETHYL LINOLEATE,에틸리놀리에이트,SKIN CONDITIONING - EMOLLIENT;PERFUMING
EPIGALLOCATECHIN GALLATYL GLUCOSIDE,EPIGALLOCATECHIN GALLATYL GLUCOSIDE,에피갈로카테킨갈레이틸글루코사이드,ANTIOXIDANT;SKIN CONDITIONING
GANODERMA LUCIDUM STEM EXTRACT,GANODERMA LUCIDUM STEM EXTRACT,영지버섯줄기추출물,SKIN CONDITIONING
ZEA MAYS LEAF EXTRACT,ZEA MAYS LEAF EXTRACT,옥수수잎추출물,SKIN CONDITIONING
OCTADECENE,OCTADECENE,옥타데센,SOLVENT;VISCOSITY CONTROLLING
OCTOCRYLENE,OCTOCRYLENE,옥토크릴렌,LIGHT STABILIZER;UV ABSORBER;UV FILTER
OCTYLDODECYL MYRISTATE,OCTYLDODECYL MYRISTATE,옥틸도데실미리스테이트,SKIN CONDITIONING - EMOLLIENT
OCTYLDODECYL STEAROYL STEARATE,OCTYLDODECYL STEAROYL STEARATE,옥틸도데실스테아로일스테아레이트,SKIN CONDITIONING - EMOLLIENT;VISCOSITY CONTROLLING
OLETH-3,OLETH-3,올레스-3,SURFACTANT - EMULSIFYING
OLETH-10 PHOSPHATE,OLETH-10 PHOSPHATE,올레스-20포스페이트,SURFACTANT - CLEANSING
OLETH-5,OLETH-5,올레스-5,SURFACTANT - EMULSIFYING
OLIVE OIL POLYGLYCERYL-6 ESTERS,OLIVE OIL POLYGLYCERYL-6 ESTERS,올리브오일폴리글리세릴-6에스터,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
PHYLLOSTACHYS BAMBUSOIDES EXTRACT,PHYLLOSTACHYS BAMBUSOIDES EXTRACT,왕대추출물,SKIN CONDITIONING
ANGELICA ACUTILOBA ROOT WATER,ANGELICA ACUTILOBA ROOT WATER,왜당귀뿌리수,SKIN CONDITIONING
URSOLIC ACID,URSOLIC ACID,우르솔릭애씨드,FRAGRANCE;SKIN CONDITIONING;PERFUMING
WITHANIA SOMNIFERA FLOWER EXTRACT,WITHANIA SOMNIFERA FLOWER EXTRACT,윈터체리꽃추출물,SKIN CONDITIONING
CITRUS JUNOS SEED OIL,CITRUS JUNOS SEED OIL,유자씨오일,SKIN CONDITIONING - EMOLLIENT
CAMELLIA OLEIFERA SEED EXTRACT,CAMELLIA OLEIFERA SEED EXTRACT,유차나무씨추출물,ASTRINGENT;TONIC
CAMELLIA OLEIFERA LEAF EXTRACT,CAMELLIA OLEIFERA LEAF EXTRACT,유차나무잎추출물,ASTRINGENT;SKIN CONDITIONING
YUCCA BREVIFOLIA POWDER,YUCCA BREVIFOLIA POWDER,조슈아나무가루,EXFOLIATING
CINNAMOMUM CASSIA LEAF OIL,CINNAMOMUM CASSIA LEAF OIL,육계잎오일,DENATURANT;FRAGRANCE;PERFUMING
LEUCOJUM AESTIVUM BULB EXTRACT,LEUCOJUM AESTIVUM BULB EXTRACT,은방울수선비늘줄기추출물,SKIN PROTECTING
MILT EXTRACT,MILT EXTRACT,이리추출물,SKIN CONDITIONING
HUMAN STEM CELL CONDITIONED MEDIA,HUMAN STEM CELL CONDITIONED MEDIA,인체줄기세포배양액,HUMECTANT;SKIN CONDITIONING
MAGNOLIA OBOVATA BARK EXTRACT,MAGNOLIA OBOVATA BARK EXTRACT,일본목련나무껍질추출물,SKIN CONDITIONING
CITRUS PARADISI SEED EXTRACT,CITRUS PARADISI SEED EXTRACT,자몽씨추출물,FRAGRANCE;PERFUMING
GELATIN,GELATIN,젤라틴,FILM FORMING;VISCOSITY CONTROLLING
PHYLLOSTACHYS PUBESCENS SHOOT BARK EXTRACT,PHYLLOSTACHYS PUBESCENS SHOOT BARK EXTRACT,죽순대싹껍질추출물,SKIN CONDITIONING
RUBUS CHAMAEMORUS SEED OIL,RUBUS CHAMAEMORUS SEED OIL,진들딸기씨오일,SKIN CONDITIONING
ZINC HYDROLYZED HYALURONATE,ZINC HYDROLYZED HYALURONATE,징크하이드롤라이즈드하이알루로네이트,HUMECTANT;SKIN CONDITIONING
HYDROLYZED ULVA LACTUCA EXTRACT,HYDROLYZED ULVA LACTUCA EXTRACT,하이드롤라이즈드참갈파래추출물,SKIN CONDITIONING
LILIUM TIGRINUM BULB EXTRACT,LILIUM TIGRINUM BULB EXTRACT,참나리비늘줄기추출물,SKIN CONDITIONING - MISCELLANEOUS
ANGELICA GIGAS EXTRACT,ANGELICA GIGAS EXTRACT,참당귀추출물,SKIN CONDITIONING
VITEX AGNUS CASTUS LEAF OIL,VITEX AGNUS CASTUS LEAF OIL,체이스트트리잎오일,FRAGRANCE
CARNITINE HCL,CARNITINE HCL,카르니틴에이치씨엘,HUMECTANT;SKIN CONDITIONING
TERMINALIA FERDINANDIANA SEED OIL,TERMINALIA FERDINANDIANA SEED OIL,카카두플럼씨오일,ANTIOXIDANT;SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;HUMECTANT;SKIN PROTECTING
COPPER PCA,COPPER PCA,카퍼피씨에이,HUMECTANT;SKIN CONDITIONING
CAFFEOYL SH-OCTAPEPTIDE-4,CAFFEOYL SH-OCTAPEPTIDE-4,카페오일에스에이치-옥타펩타이드-4,ANTIOXIDANT;SKIN PROTECTING
CAFFEOYL TRIPEPTIDE-1,CAFFEOYL TRIPEPTIDE-1,카페오일트라이펩타이드-1,ANTIOXIDANT;SKIN PROTECTING
CAPRYL/CAPRAMIDOPROPYL BETAINE,CAPRYL/CAPRAMIDOPROPYL BETAINE,카프릴/카프라미도프로필베타인,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
CAPRYLOYL SH-NONAPEPTIDE-6,CAPRYLOYL SH-NONAPEPTIDE-6,카프릴로일에스에이치-노나펩타이드-6,SKIN CONDITIONING
CAPRYLIC ACID,CAPRYLIC ACID,카프릴릭애씨드,CLEANSING;SURFACTANT - EMULSIFYING;FRAGRANCE;SURFACTANT - CLEANSING;PERFUMING
CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS,CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS,칸데릴라/호호바/쌀겨폴리글리세릴-3에스터,SURFACTANT - EMULSIFYING;EMULSION STABILISING;SURFACTANT - CLEANSING
CANDIDA/GARCINIA CAMBOGIA FERMENT,CANDIDA/GARCINIA CAMBOGIA FERMENT,칸디다/가르시니아발효물,NOT REPORTED
CANADIAN COLLOIDAL CLAY,CANADIAN COLLOIDAL CLAY,캐나다콜로이달클레이,SKIN CONDITIONING
BRASSICA OLERACEA VIRIDIS LEAF WATER,BRASSICA OLERACEA VIRIDIS LEAF WATER,케일잎수,SKIN CONDITIONING - HUMECTANT;SKIN CONDITIONING - MISCELLANEOUS
COCETH-10,COCETH-10,코세스-20,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
COCAMIDE DEA,COCAMIDE DEA,코카마이드디이에이,SURFACTANT - EMULSIFYING;EMULSION STABILISING;SURFACTANT - FOAM BOOSTING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
COLA ACUMINATA SEED EXTRACT,COLA ACUMINATA SEED EXTRACT,콜라나무씨추출물,SKIN CONDITIONING
VACCINIUM MACROCARPON SEED OIL,VACCINIUM MACROCARPON SEED OIL,크랜베리씨오일,SKIN CONDITIONING
CHRYSIN,CHRYSIN,크리신,SKIN CONDITIONING
CHLORELLA VULGARIS POWDER,CHLORELLA VULGARIS POWDER,클로렐라 불가리스가루,SKIN CONDITIONING - MISCELLANEOUS
THEANINE,THEANINE,테아닌,SKIN CONDITIONING - EMOLLIENT;HUMECTANT;SKIN CONDITIONING
TETRAACETYLPHYTOSPHINGOSINE,TETRAACETYLPHYTOSPHINGOSINE,테트라아세틸피토스핑고신,HAIR CONDITIONING;SKIN CONDITIONING
SOLANUM LYCOPERSICUM LEAF CELL CULTURE EXTRACT,SOLANUM LYCOPERSICUM LEAF CELL CULTURE EXTRACT,토마토잎세포배양추출물,SKIN CONDITIONING
POLIANTHES TUBEROSA FLOWER CERA,POLIANTHES TUBEROSA FLOWER CERA,튜베로즈꽃오일,FRAGRANCE;SKIN CONDITIONING
TRI-C14-15 ALKYL CITRATE,TRI-C14-15 ALKYL CITRATE,트라이-C14-15알킬시트레이트,SKIN CONDITIONING - EMOLLIENT;PLASTICISER;SKIN CONDITIONING
TEA-LAURYL SULFATE,TEA-LAURYL SULFATE,티이에이-라우릴설페이트,CLEANSING;SURFACTANT - EMULSIFYING;FOAMING;SURFACTANT - CLEANSING
PALMITOYL SH-TRIPEPTIDE-3 AMIDE,PALMITOYL SH-TRIPEPTIDE-3 AMIDE,팔미토일에스에이치-트라이펩타이드-3아마이드,HUMECTANT;SKIN CONDITIONING;SKIN PROTECTING
PALMITOYL SH-TRIPEPTIDE-4 AMIDE,PALMITOYL SH-TRIPEPTIDE-4 AMIDE,팔미토일에스에이치-트라이펩타이드-4아마이드,SKIN CONDITIONING;SKIN PROTECTING
VIGNA ANGULARIS SEED POWDER,VIGNA ANGULARIS SEED POWDER,팥가루,EXFOLIATING
PENTAERYTHRITYL TETRACAPRYLATE/CAPRATE,PENTAERYTHRITYL TETRACAPRYLATE/CAPRATE,펜타에리스리틸테트라카프릴레이트/테트라카프레이트,SKIN CONDITIONING - EMOLLIENT
VITIS VINIFERA FRUIT CELL EXTRACT,VITIS VINIFERA FRUIT CELL EXTRACT,포도세포추출물,SKIN CONDITIONING
VITIS VINIFERA BUD EXTRACT,VITIS VINIFERA BUD EXTRACT,포도잎왁스,SKIN CONDITIONING
POTASSIUM MAGNESIUM ASPARTATE,POTASSIUM MAGNESIUM ASPARTATE,포타슘마그네슘아스파테이트,BUFFERING;SKIN PROTECTING
POLYGLUCURONIC ACID,POLYGLUCURONIC ACID,폴리글루쿠로닉애씨드,SKIN CONDITIONING
POLYSORBATE 40,POLYSORBATE 40,피이지-80솔비탄팔미테이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
POLYESTER-5,POLYESTER-5,폴리에스터-5,FILM FORMING;VISCOSITY CONTROLLING
POLYCAPROLACTONE,POLYCAPROLACTONE,폴리카프로락톤,LIGHT STABILIZER
PINUS PINASTER BARK/BUD EXTRACT,PINUS PINASTER BARK/BUD EXTRACT,프랑스해안송껍질/싹추출물,ANTI-SEBORRHEIC;ANTIMICROBIAL;ANTIOXIDANT;ORAL CARE;SKIN CONDITIONING;UV ABSORBER
LAVANDULA STOECHAS FLOWER/STEM EXTRACT,LAVANDULA STOECHAS FLOWER/STEM EXTRACT,프렌치라벤더추출물,SKIN CONDITIONING - EMOLLIENT
PYRIDOXINE DIPALMITATE,PYRIDOXINE DIPALMITATE,피리독신디팔미테이트,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING
PCA ETHYL COCOYL ARGINATE,PCA ETHYL COCOYL ARGINATE,피씨에이에틸코코일알지네이트,ANTISTATIC;MOISTURISING;SURFACTANT - CLEANSING
PEG-10 DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,PEG-10 DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,피이지-10다이메티콘/비닐다이메티콘크로스폴리머,LIGHT STABILIZER;VISCOSITY CONTROLLING
PEG-10 METHYL ETHER DIMETHICONE,PEG-10 METHYL ETHER DIMETHICONE,피이지-6메틸에터다이메티콘,SURFACTANT - EMULSIFYING;HAIR CONDITIONING;SKIN CONDITIONING
PEG-200 HYDROGENATED GLYCERYL PALMATE,PEG-200 HYDROGENATED GLYCERYL PALMATE,피이지-200하이드로제네이티드글리세릴팔메이트,CLEANSING;SURFACTANT - EMULSIFYING;SOLVENT;SURFACTANT - CLEANSING
PEG-60 ALMOND GLYCERIDES,PEG-60 ALMOND GLYCERIDES,피이지-60아몬드글리세라이즈,SURFACTANT - EMULSIFYING
PEG-7 CAPRYLIC/CAPRIC GLYCERIDES,PEG-7 CAPRYLIC/CAPRIC GLYCERIDES,피이지-7카프릴릭/카프릭글리세라이즈,SURFACTANT - EMULSIFYING
PEG-20 GLYCERYL COCOATE,PEG-20 GLYCERYL COCOATE,피이지-80글리세릴코코에이트,SURFACTANT - CLEANSING
PICHIA FERMENT EXTRACT FILTRATE,PICHIA FERMENT EXTRACT FILTRATE,피키아발효추출여과물,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;SKIN PROTECTING
PHYTOL,PHYTOL,피톨,SKIN CONDITIONING - EMOLLIENT;FRAGRANCE;PERFUMING
PTFE,PTFE,피티에프이,BULKING
PPG-1-PEG-9 LAURYL GLYCOL ETHER,PPG-1-PEG-9 LAURYL GLYCOL ETHER,피피지-1-피이지-9라우릴글라이콜에터,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
PPG-2 MYRISTYL ETHER PROPIONATE,PPG-2 MYRISTYL ETHER PROPIONATE,피피지-2미리스틸에터프로피오네이트,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
HYDROGENATED OLIVE OIL DECYL ESTERS,HYDROGENATED OLIVE OIL DECYL ESTERS,하이드로제네이티드올리브오일데실에스터,EMULSION STABILISING;FILM FORMING;HAIR CONDITIONING
HYDROGENATED OLIVE OIL STEARYL ESTERS,HYDROGENATED OLIVE OIL STEARYL ESTERS,하이드로제네이티드올리브오일스테아릴에스터,EMULSION STABILISING;HAIR CONDITIONING
HYDROGENATED PALM GLYCERIDES CITRATE,HYDROGENATED PALM GLYCERIDES CITRATE,하이드로제네이티드팜글리세라이즈시트레이트,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
